dog_id,registered_name,call_name,sex,color,birth_date,death_date,age_at_death_years,registration_number,dna_number,microchip,sire_name,sire_id,dam_name,dam_id,breeder_name,breeder_id,kennel_name,owner_name,owner_id,hip_rating,elbow_rating,heart_rating,eye_rating,dm_status,titles,image_url,image_path,profile_url
21351.0,'N CAHOOTS SOME LIKE IT HOT,,Female,,,,,,,,BLACKROCK XCEPTION TO THE RULE,,BLACKROCK'S AMAZING GRACE,,,,,,,,,,,,,https://bernergarde.org/DB/images/NoPhoto2.jpg,,https://bernergarde.org/DB/Dog_Detail?DID=21351.0
21351,'N CAHOOTS SOME LIKE IT HOT,,Female,,,,,,,,BLACKROCK XCEPTION TO THE RULE,,BLACKROCK'S AMAZING GRACE,,,,,,,,,,,,,https://bernergarde.org/DB/images/NoPhoto2.jpg,,https://bernergarde.org/DB/Dog_Detail?DID=21351
27649.0,(BANHOF'S) WINDSOR ASPEN OBRIEN,,Male,,,,,,,,KEILISSA'S DRIVEN TO SUCCESS,,BEOWULF'S MY FAIR LADY,,,,,,,,,,,,,https://bernergarde.org/DB/images/NoPhoto2.jpg,,https://bernergarde.org/DB/Dog_Detail?DID=27649.0
27649,(BANHOF'S) WINDSOR ASPEN OBRIEN,,Male,,,,,,,,KEILISSA'S DRIVEN TO SUCCESS,,BEOWULF'S MY FAIR LADY,,,,,,,,,,,,,https://bernergarde.org/DB/images/NoPhoto2.jpg,,https://bernergarde.org/DB/Dog_Detail?DID=27649
71541,262944998,,Female,,,,,,,,,,,,,,,,,,,,,,,https://bernergarde.org/DB/images/NoPhoto2.jpg,,https://bernergarde.org/DB/Dog_Detail?DID=71541
71541.0,262944998,,Female,,,,,,,,,,,,,,,,,,,,,,,https://bernergarde.org/DB/images/NoPhoto2.jpg,,https://bernergarde.org/DB/Dog_Detail?DID=71541.0
88966.0,A1A LARALEES SADIE BLUE,,Female,,,,,,,,ADESA'S PUSHING THE LIMIT,,A1A CELESTIAL LILY,,,,,,,,,,,,,https://bernergarde.org/DB/images/NoPhoto2.jpg,,https://bernergarde.org/DB/Dog_Detail?DID=88966.0
88966,A1A LARALEES SADIE BLUE,,Female,,,,,,,,ADESA'S PUSHING THE LIMIT,,A1A CELESTIAL LILY,,,,,,,,,,,,,https://bernergarde.org/DB/images/NoPhoto2.jpg,,https://bernergarde.org/DB/Dog_Detail?DID=88966
142408.0,A1A ROCKY TOP MOUNTAIN MAN,,Male,,,,,,,,ADESA SPIN THE BOTTLE,,A1A LARALEE'S FINALLY MADE ME HAPPY,,,,,,,,,,,,,https://bernergarde.org/DB/images/NoPhoto2.jpg,,https://bernergarde.org/DB/Dog_Detail?DID=142408.0
142408,A1A ROCKY TOP MOUNTAIN MAN,,Male,,,,,,,,ADESA SPIN THE BOTTLE,,A1A LARALEE'S FINALLY MADE ME HAPPY,,,,,,,,,,,,,https://bernergarde.org/DB/images/NoPhoto2.jpg,,https://bernergarde.org/DB/Dog_Detail?DID=142408
5271,AAR VON WYEMEDE,,Male,,,,,,,,MAXIMILIAN V NESSELACKER,,WYEMEDE'S SABLEMATE SIREN,,,,,,,,,,,,,https://bernergarde.org/DB/images/NoPhoto2.jpg,,https://bernergarde.org/DB/Dog_Detail?DID=5271
5271.0,AAR VON WYEMEDE,,Male,,,,,,,,MAXIMILIAN V NESSELACKER,,WYEMEDE'S SABLEMATE SIREN,,,,,,,,,,,,,https://bernergarde.org/DB/images/NoPhoto2.jpg,,https://bernergarde.org/DB/Dog_Detail?DID=5271.0
94630,AARON V HIBISCUSGARTEN,,Male,,,,,,,,CHESS V GÄNSGARTEN,,OKTAVIA V ZIEGELGÄSSLI,,,,,,,,,,,,,https://bernergarde.org/DB/images/NoPhoto2.jpg,,https://bernergarde.org/DB/Dog_Detail?DID=94630
94630.0,AARON V HIBISCUSGARTEN,,Male,,,,,,,,CHESS V GÄNSGARTEN,,OKTAVIA V ZIEGELGÄSSLI,,,,,,,,,,,,,https://bernergarde.org/DB/images/NoPhoto2.jpg,,https://bernergarde.org/DB/Dog_Detail?DID=94630.0
34320.0,ABBEY ROAD 01/02/97-6,,Female,,,,,,,,DUNTIBLAE FOREIGN EXCHANGE,,ABBEY RD GRETA V THUNDERWOOD,,,,,,,,,,,,,https://bernergarde.org/DB/images/NoPhoto2.jpg,,https://bernergarde.org/DB/Dog_Detail?DID=34320.0
34320,ABBEY ROAD 01/02/97-6,,Female,,,,,,,,DUNTIBLAE FOREIGN EXCHANGE,,ABBEY RD GRETA V THUNDERWOOD,,,,,,,,,,,,,https://bernergarde.org/DB/images/NoPhoto2.jpg,,https://bernergarde.org/DB/Dog_Detail?DID=34320
34319.0,ABBEY ROAD'S NOT A TAME LION,,Male,,,,,,,,DUNTIBLAE FOREIGN EXCHANGE,,ABBEY RD GRETA V THUNDERWOOD,,,,,,,,,,,,,https://bernergarde.org/DB/images/NoPhoto2.jpg,,https://bernergarde.org/DB/Dog_Detail?DID=34319.0
34319,ABBEY ROAD'S NOT A TAME LION,,Male,,,,,,,,DUNTIBLAE FOREIGN EXCHANGE,,ABBEY RD GRETA V THUNDERWOOD,,,,,,,,,,,,,https://bernergarde.org/DB/images/NoPhoto2.jpg,,https://bernergarde.org/DB/Dog_Detail?DID=34319
46105.0,ABBIE GWYNN,,Female,,,,,,,,ASHFLAT AMELIA'S FRITZ,,ELM CREEKS BONNIE MAE,,,,,,,,,,,,,https://bernergarde.org/DB/images/NoPhoto2.jpg,,https://bernergarde.org/DB/Dog_Detail?DID=46105.0
