dog_id,dog_id_link,registered_name,registered_name_link,call_name,registration_#,whelp_date,deceased,dna_reg_#,source_kennel
158545,Dog_Detail?DogID=158545,ANDOR V.D. METTENKAMPHOF,Dog_Detail?DogID=158545,,NHSB: 2778802 (NHSB),"Jan 7, 2010",,,V.D. METTENKAMPHOF
158544,Dog_Detail?DogID=158544,ANIQUE V.D. METTENKAMPHOF,Dog_Detail?DogID=158544,,NHSB: 2778803 (NHSB),"Jan 7, 2010",,,V.D. METTENKAMPHOF
158548,Dog_Detail?DogID=158548,ARNO V.D. METTENKAMPHOF,Dog_Detail?DogID=158548,,NHSB: 2778801 (NHSB),"Jan 7, 2010",,,V.D. METTENKAMPHOF
158540,Dog_Detail?DogID=158540,ASHLEY V.D. METTENKAMPHOF,Dog_Detail?DogID=158540,,NHSB 2778804 (NHSB),"Jan 7, 2010",,,V.D. METTENKAMPHOF
158547,Dog_Detail?DogID=158547,AXEL V.D. METTENKAMPHOF,Dog_Detail?DogID=158547,,NHSB: 2778800 (NHSB),"Jan 7, 2010",,,V.D. METTENKAMPHOF
158546,Dog_Detail?DogID=158546,AYLA V.D. METTENKAMPHOF,Dog_Detail?DogID=158546,,NHSB: 2778805 (NHSB),"Jan 7, 2010",,,V.D. METTENKAMPHOF
158566,Dog_Detail?DogID=158566,BAILEY V.D. METTENKAMPHOF,Dog_Detail?DogID=158566,,NHSB: 2828991 (NHSB),"Feb 23, 2011",,,V.D. METTENKAMPHOF
158568,Dog_Detail?DogID=158568,BALOU V.D. METTENKAMPHOF,Dog_Detail?DogID=158568,,NHSB: 2828989 (NHSB),"Feb 23, 2011",,,V.D. METTENKAMPHOF
158567,Dog_Detail?DogID=158567,BANJER V.D. METTENKAMPHOF,Dog_Detail?DogID=158567,,NHSB: 2828990 (NHSB),"Feb 23, 2011",,,V.D. METTENKAMPHOF
158563,Dog_Detail?DogID=158563,BASCHA V.D. METTENKAMPHOF,Dog_Detail?DogID=158563,,NHSB: 2828994 (NHSB),"Feb 23, 2011",,,V.D. METTENKAMPHOF
158565,Dog_Detail?DogID=158565,BELLE V.D. METTENKAMPHOF,Dog_Detail?DogID=158565,,NHSB: 2828992 (NHSB),"Feb 23, 2011",,,V.D. METTENKAMPHOF
158569,Dog_Detail?DogID=158569,BIBI V.D. METTENKAMPHOF,Dog_Detail?DogID=158569,,NHSB: 2828995 (NHSB),"Feb 23, 2011",,,V.D. METTENKAMPHOF
158570,Dog_Detail?DogID=158570,BONNY V.D. METTENKAMPHOF,Dog_Detail?DogID=158570,,NHSB: 2828996 (NHSB),"Feb 23, 2011",,,V.D. METTENKAMPHOF
158564,Dog_Detail?DogID=158564,BRANDY V.D. METTENKAMPHOF,Dog_Detail?DogID=158564,,NHSB: 2828993 (NHSB),"Feb 23, 2011",,,V.D. METTENKAMPHOF
158562,Dog_Detail?DogID=158562,CIMBA V.D. METTENKAMPHOF,Dog_Detail?DogID=158562,,NHSB 2955083 (NHSB),"Feb 18, 2014",,,V.D. METTENKAMPHOF
158541,Dog_Detail?DogID=158541,DAMY V.D. METTENKAMPHOF,Dog_Detail?DogID=158541,,NHSB: 3005171 (NHSB),"May 17, 2015",,,V.D. METTENKAMPHOF
158399,Dog_Detail?DogID=158399,DANA V.D. METTENKAMPHOF,Dog_Detail?DogID=158399,,NHSB: 3005172 (NHSB),"May 17, 2015",,,V.D. METTENKAMPHOF
158542,Dog_Detail?DogID=158542,DIESEL V.D. METTENKAMPHOF,Dog_Detail?DogID=158542,,NHSB: 3005170 (NHSB),"May 17, 2015",,,V.D. METTENKAMPHOF
158561,Dog_Detail?DogID=158561,ELSA V.D. METTENKAMPHOF,Dog_Detail?DogID=158561,,NHSB 3119577 (NHSB),"Apr 22, 2018",,,V.D. METTENKAMPHOF
158560,Dog_Detail?DogID=158560,ESRAH V.D. METTENKAMPHOF,Dog_Detail?DogID=158560,,NHSB 3119576 (NHSB),"Apr 22, 2018",,,V.D. METTENKAMPHOF
158400,Dog_Detail?DogID=158400,FALCO V.D. METTENKAMPHOF,Dog_Detail?DogID=158400,,NHSB: 3158253 (NHSB),"May 7, 2019",,,V.D. METTENKAMPHOF
158401,Dog_Detail?DogID=158401,FEMKE V.D. METTENKAMPHOF,Dog_Detail?DogID=158401,,NHSB: 3158256 (NHSB),"May 7, 2019",,,V.D. METTENKAMPHOF
158402,Dog_Detail?DogID=158402,FEYA V.D. METTENKAMPHOF,Dog_Detail?DogID=158402,,NHSB: 3158255 (NHSB),"May 7, 2019",,,V.D. METTENKAMPHOF
158403,Dog_Detail?DogID=158403,FLORIS V.D. METTENKAMPHOF,Dog_Detail?DogID=158403,,NHSB: 3158254 (NHSB),"May 7, 2019",,,V.D. METTENKAMPHOF
217544,Dog_Detail?DogID=217544,ADELE AV SOLBERGNES,Dog_Detail?DogID=217544,,NO38666/16 (NKK),"Apr 21, 2016",,,SOLBERGNES
217545,Dog_Detail?DogID=217545,AIDA AV SOLBERGNES,Dog_Detail?DogID=217545,,NO38665/16 (NKK),"Apr 21, 2016",,,SOLBERGNES
217543,Dog_Detail?DogID=217543,AIZA AV SOLBERGNES,Dog_Detail?DogID=217543,,NO38663/16 (NKK),"Apr 21, 2016",,,SOLBERGNES
217541,Dog_Detail?DogID=217541,ANIA AV SOLBERGNES,Dog_Detail?DogID=217541,,NO38664/16 (NKK),"Apr 21, 2016",,,SOLBERGNES
217540,Dog_Detail?DogID=217540,ARAGORN AV SOLBERGNES,Dog_Detail?DogID=217540,,NO38661/16 (NKK),"Apr 21, 2016",,,SOLBERGNES
217546,Dog_Detail?DogID=217546,ARN AV SOLBERGNES,Dog_Detail?DogID=217546,,NO38660/16 (NKK),"Apr 21, 2016",,,SOLBERGNES
217542,Dog_Detail?DogID=217542,ASK AV SOLBERGNES,Dog_Detail?DogID=217542,,NO38659/16 (NKK),"Apr 21, 2016",,,SOLBERGNES
217539,Dog_Detail?DogID=217539,ATHINA AV SOLBERGNES,Dog_Detail?DogID=217539,ATHINA,NO38662/16 (NKK),"Apr 21, 2016",,,SOLBERGNES
225456,Dog_Detail?DogID=225456,BAYLA AV SOLBERGNES,Dog_Detail?DogID=225456,,NO49540/20 (NKK),"Jul 8, 2020",,,SOLBERGNES
225461,Dog_Detail?DogID=225461,BEA AV SOLBERGNES,Dog_Detail?DogID=225461,,NO49535/20 (NKK),"Jul 8, 2020",,,SOLBERGNES
225459,Dog_Detail?DogID=225459,BERNHARD AV SOLBERGNES,Dog_Detail?DogID=225459,,NO49541/20 (NKK),"Jul 8, 2020",,,SOLBERGNES
225460,Dog_Detail?DogID=225460,BESTE LILLY AV SOLBERGNES,Dog_Detail?DogID=225460,,NO49537/20 (NKK),"Jul 8, 2020",,,SOLBERGNES
225458,Dog_Detail?DogID=225458,BIANCA AV SOLBERGNES,Dog_Detail?DogID=225458,BIANCA,NO49534/20 (NKK),"Jul 8, 2020",,,SOLBERGNES
225457,Dog_Detail?DogID=225457,BILLIE AV SOLBERGNES,Dog_Detail?DogID=225457,,NO49539/20 (NKK),"Jul 8, 2020",,,SOLBERGNES
225462,Dog_Detail?DogID=225462,BONNIE AV SOLBERGNES,Dog_Detail?DogID=225462,,NO49538/20 (NKK),"Jul 8, 2020",,,SOLBERGNES
225453,Dog_Detail?DogID=225453,BONZO AV SOLBERGNES,Dog_Detail?DogID=225453,,NO49543/20 (NKK),"Jul 8, 2020","Jul 29, 2021",,SOLBERGNES
225454,Dog_Detail?DogID=225454,BRIMI AV SOLBERGNES,Dog_Detail?DogID=225454,,NO49542/20 (NKK),"Jul 8, 2020",,,SOLBERGNES
225455,Dog_Detail?DogID=225455,BUFFY AV SOLBERGNES,Dog_Detail?DogID=225455,,NO49536/20 (NKK),"Jul 8, 2020",,,SOLBERGNES
149823,Dog_Detail?DogID=149823,MALLA,Dog_Detail?DogID=149823,,N07033/85 (NKK),"Dec 11, 1984",,,STEINTOPPEN
149824,Dog_Detail?DogID=149824,STEINTOPPEN'S PHILOS,Dog_Detail?DogID=149824,,16832/87 (NKK),"Apr 22, 1987",,,STEINTOPPEN
20689,Dog_Detail?DogID=20689,STEINTOPPEN'S RAHNI,Dog_Detail?DogID=20689,,16835/87 (NKK),"Apr 22, 1987",,,STEINTOPPEN
139386,Dog_Detail?DogID=139386,SPLENDID THREE COLOR ARARAT,Dog_Detail?DogID=139386,CZAR,"RKF 4400409 (RKF), LOP531881 (CPC)","Aug 23, 2015",,,SPLENDID THREE COLOR
73300,Dog_Detail?DogID=73300,SPLENDID THREE COLOR BARSELONA,Dog_Detail?DogID=73300,,RKF 1744557 (RKF),"May 16, 2005",,,SPLENDID THREE COLOR
73362,Dog_Detail?DogID=73362,SPLENDID THREE COLOR BRATISLAVA,Dog_Detail?DogID=73362,,RKF 1744558 (RKF),"May 16, 2005",,,SPLENDID THREE COLOR
