bg_dog_id,dog name,sex,call name,dna reg ,registrations,whelp date,deceased,sire,sire_id,dam,dam_id,litter id,litter id_id,stud book,frozen semen,data_source,last updated,registered_name,image_urls,image_paths,primary_image,microchip,coat_color,eye_color,bite,height,weight,tail,rescue type
21754,SUNSHINE'S ARCTIC STAR,Male,HUNTER,V433073 (AKC),WS08370401 (AKC),"Feb 11, 2004","Aug, 2014",SANTERA SPECIAL CONTENDER,19438.0,ARCTIC ROSE AV MILKCREEK,21753.0,6018.0,6018.0,"Sep, 2006",Yes,BG Dog Submission,9/24/2014 4:11:00 PM,SUNSHINE'S ARCTIC STAR,https://bernergarde.org/DB/photos/Dog/BG21754-1.jpg|https://bernergarde.org/DB/photos/Dog/BG21754-1.jpg,output/images/dog_21754_0.jpg|output/images/dog_21754_1.jpg,output/images/dog_21754_0.jpg,,,,,,,,
61073,MAHARAJA'S SPIRIT OF DAKOTA,"Male (neutered May 13, 2013)",CODY,V553233 (AKC),WS27051206 (AKC),"Jul 28, 2008","Dec 23, 2013",EXCALIBER VAN 'T STOKERYBOS,30636.0,BERNERLIEBE MAHA RANI V DEERPARK,25939.0,16074.0,16074.0,,Yes,BG Dog Submission,2/16/2018 5:52:00 PM,MAHARAJA'S SPIRIT OF DAKOTA,https://bernergarde.org/DB/photos/Dog/BG61073-2.JPG|https://bernergarde.org/DB/photos/Dog/BG61073-2.JPG,output/images/dog_61073_0.jpg|output/images/dog_61073_1.jpg,output/images/dog_61073_0.jpg,,,,,,,,
73926,CAIN AMORE VAN DE BERNERWEIDE,Male,AMORE,,"1109805 (CKC), NHSB: 2484954 (NHSB)","Dec 8, 2003",,BARANCOURT VAN DE WEYENBERG,19205.0,KELLY AYLA UUT 'T WAARKHUUS,71268.0,19690.0,19690.0,,,BG Litter Submission,6/4/2017 5:05:00 AM,CAIN AMORE VAN DE BERNERWEIDE,https://bernergarde.org/DB/photos/Dog/BG73926-1.jpg|https://bernergarde.org/DB/photos/Dog/BG73926-1.jpg,output/images/dog_73926_0.jpg|output/images/dog_73926_1.jpg,output/images/dog_73926_0.jpg,,,,,,,,
99075,ASTIA'S SACRED WARRIOR,Male,KADEN,V719712 (AKC),WS43437301 (AKC),"Dec 21, 2012","Oct 12, 2021",ALPENSPIRIT SWEET CELEBRATION,82433.0,ASTIA'S CAN'T TOUCH THIS V SENDACHE,73520.0,30875.0,30875.0,"Jun, 2016",,Other,5/9/2022 4:37:00 PM,ASTIA'S SACRED WARRIOR,https://bernergarde.org/DB/photos/Dog/BG99075-3.jpg|https://bernergarde.org/DB/photos/Dog/BG99075-3.jpg|https://bernergarde.org/DB/photos/Dog/BG99075-1.jpg,output/images/dog_99075_0.jpg|output/images/dog_99075_1.jpg|output/images/dog_99075_2.jpg,output/images/dog_99075_0.jpg,,,,,,,,
100661,FREDS EXPRESSION,Male,FRED,V839328 (AKC),WS42660705 (AKC),"Dec 16, 2012",Yes-no date,MAX WITH EXPRESSION,62320.0,GRACIES PETTYBONE,71132.0,31187.0,31187.0,,No,Owner,5/14/2023 6:53:00 PM,FREDS EXPRESSION,https://bernergarde.org/DB/photos/Dog/BG100661-1.jpg|https://bernergarde.org/DB/photos/Dog/BG100661-1.jpg|https://bernergarde.org/DB/photos/Dog/BG100661-2.jpg,output/images/dog_100661_0.jpg|output/images/dog_100661_1.jpg|output/images/dog_100661_2.jpg,output/images/dog_100661_0.jpg,4C3460 ...,Normal,Brown,Scissor,"35""",120lbs,Normal,
102864,PISTYLLUCHAF CAROL,Female,,,KC (KC),"Jun 6, 2013",,HYPEAK PRINCE CHARMING,93996.0,PISTYLL BEAUTY,95431.0,31447.0,31447.0,,,GB KC Breed Record Supplement,4/14/2016 3:16:00 AM,PISTYLLUCHAF CAROL,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
111488,BRYONYGEM GADDY BOY,Male,,,AR01757202 (KC),"May 19, 2014",,ATLANTICBELL BORN TO BE COOL OF BRYONYGEM,95665.0,LOSTWITHIEL DOLLY MIXTURE,73188.0,35351.0,35351.0,,,GB KC Breed Record Supplement,5/28/2020 7:10:00 AM,BRYONYGEM GADDY BOY,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,,,,,,,
116064,NASHEMS CRESTLINE KILT LIFTER FOR AYLER,Male,HEF,V750959 (AKC),WS47824803 (AKC),"Jun 28, 2014",,NASHEMS HOMEBREW,78553.0,SAPPHIRE'S ST. PAULI GIRL,67215.0,35674.0,35674.0,,,BG Dog Submission,4/7/2015 2:03:00 AM,NASHEMS CRESTLINE KILT LIFTER FOR AYLER,https://bernergarde.org/DB/images/NoPhoto2.jpg,,,,Normal,Brown,Scissor,,,Normal,
116192,SHEPHERDSPATCH PETER THE GREAT,Male,PETER,V760265 (AKC),WS49020701 (AKC),"Oct 28, 2014","Aug 13, 2021",BLUMOON'S STEAMBOAT WILLIE,66607.0,SHEPHERDSPATCH NELLY,72871.0,36256.0,36256.0,"Mar, 2018",Yes,BG Dog Submission,8/18/2021 5:25:00 PM,SHEPHERDSPATCH PETER THE GREAT,https://bernergarde.org/DB/photos/Dog/BG116192-1.jpg|https://bernergarde.org/DB/photos/Dog/BG116192-1.jpg|https://bernergarde.org/DB/photos/Dog/BG116192-2.jpg,output/images/dog_116192_0.jpg|output/images/dog_116192_1.jpg|output/images/dog_116192_2.jpg,output/images/dog_116192_0.jpg,,Normal,Dark Brown,Scissor,26.5 in,115 lbs,Normal,
120354,BERNERBRUKETS YAHOO,Male,FLOKIE,V765791 (AKC),"SE19585/2015 (SKK), WS50286001 (AKC)","Feb 23, 2015",,BERNTIERS ON DEMAND,76682.0,HERREKVARNS DUNDRA,120353.0,37102.0,37102.0,,No,Breeder/Owner,12/16/2025 8:57:00 PM,BERNERBRUKETS YAHOO,https://bernergarde.org/DB/photos/Dog/BG120354-1.jpg|https://bernergarde.org/DB/photos/Dog/BG120354-1.jpg|https://bernergarde.org/DB/photos/Dog/BG120354-3.jpg|https://bernergarde.org/DB/photos/Dog/BG120354-2.jpg|https://bernergarde.org/DB/photos/Dog/BG120354-4.jpg,output/images/dog_120354_0.jpg|output/images/dog_120354_1.jpg|output/images/dog_120354_2.jpg|output/images/dog_120354_3.jpg|output/images/dog_120354_4.jpg,output/images/dog_120354_0.jpg,752096 ...,,,,,,,
